restaurant_name,borough,building_num,street,zip_code,phone_num
JUICE PRESS,MANHATTAN,350,5TH AVE,10118,(212)388-9539
"JUICE PRESS (EQUINOX, west 60th street)",MANHATTAN,10,COLUMBUS CIR,10019,(646)901-1321
JUICE PRESS @ EQUINOX,MANHATTAN,1429,2ND AVE,10021,(212)388-9539
JUICE PRESS @ EQUINOX,MANHATTAN,54,MURRAY ST,10007,(787)248-7777
JUICE PRESS @EQUINOX,MANHATTAN,344,AMSTERDAM AVE,10024,(212)388-9539
JUICE RIGHT CORP.,MANHATTAN,100,W 143RD ST,10030,(917)265-8512
JUICE RITE,BRONX,3042,BUHRE AVE,10461,(347)419-5543
JUICE THERAPY,MANHATTAN,145,E 27TH ST,10016,(212)559-8999
JUICE VITALITY,MANHATTAN,192,1ST AVE,10009,(212)477-0071
JUICE ZONE,MANHATTAN,2321,1ST AVE,10035,(347)805-5484
JUICE/FOOD/FUEL,MANHATTAN,1211,AVENUE OF THE AMERICAS,10036,(646)407-2632
JUICEADE,BRONX,1345,SOUTHERN BLVD,10459,(718)991-6369
JUICEMINE,STATEN ISLAND,4,MINTHORNE ST,10301,(917)397-9394
JUICERITE,BRONX,1274,CASTLE HILL AVE,10462,(347)281-9667
JUICERY KITCHEN,BROOKLYN,568,Union Ave,11211,(718)387-3680
JUICES FOR LIFE,BRONX,1028,CASTLE HILL AVE,10472,(347)281-9844
JUICES FOR LIFE,BRONX,3463,E TREMONT AVE,10465,(347)281-9060
JUICES FOR LIFE BK,BROOKLYN,277,MALCOLM X BLVD,11233,(347)350-8558
JUICOLOGY,MANHATTAN,115,W 30TH ST,10001,(646)484-6550
JUICY CUBE,MANHATTAN,166,W 72ND ST,10023,(212)799-2888
JUICY CUBE,MANHATTAN,674,LEXINGTON AVENUE,10022,(212)888-2188
JUICY LUCY,MANHATTAN,85,AVENUE A,10009,(212)777-5829
JUICY LUCY'S,MANHATTAN,72,EAST    1 STREET,10003,(212)777-5829
JUICY MAMA,BROOKLYN,253,SCHENECTADY AVE,11213,(718)676-1050
JUICY SPOT,MANHATTAN,33,PELL ST,10013,(646)870-0188
JUJU CAFE & DELI,BROOKLYN,143,SMITH ST,11201,(347)758-2811
JUJU'S BAGELS CAFE,QUEENS,3562,76 STREET,11372,(718)205-9511
JUJUBE TREE,QUEENS,3502,30TH AVE,11103,(718)545-1888
JUKAI,MANHATTAN,237,EAST   53 STREET,10022,(212)588-9788
JUKE BAR,MANHATTAN,301,E 12TH ST,10003,(914)907-3094
JUKU,MANHATTAN,32,MULBERRY ST,10013,(646)590-2111
JULES BISTRO,MANHATTAN,65,ST MARKS PLACE,10003,(212)477-5560
JULESRUBY LOUNGE RENTAL,BRONX,135,WESTCHESTER SQUARE,10461,(646)406-7183
JULIA'S BEER AND WINE BAR,QUEENS,818,WOODWARD AVE,11385,(917)909-1314
JULIA'S COFFEE SHOP,BRONX,232,E 144TH ST,10451,(347)573-4511
JULIANA'S PIZZA,BROOKLYN,19,OLD FULTON STREET,11201,(718)596-6700
JULIANA'S PIZZA,BROOKLYN,55,WATER ST,11201,(917)743-7388
JULIANO'S ESPRESSO BAR,MANHATTAN,1378,LEXINGTON AVENUE,10128,(212)987-4540
JULIETTE,BROOKLYN,135,NORTH    5 STREET,11249,(718)388-9222
JULIUS,MANHATTAN,159,WEST   10 STREET,10014,(212)243-1928
JUMBO CHINESE KITCHEN,QUEENS,11304,JAMAICA AVENUE,11418,(718)441-5946
JUMBO HAMBURGER PLACE,MANHATTAN,112,W 116TH ST,10026,(212)665-9600
JUMBO HOUSE,BROOKLYN,942,UTICA AVENUE,11203,(718)385-8886
JUMBO KITCHEN,BRONX,1915,SOUTHERN BLVD,10460,(718)378-5388
JUMBO PIZZA,MANHATTAN,3594,BROADWAY,10031,(212)291-4991
JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039,(212)491-5444
JUN BO RESTAURANT,BRONX,3712,E TREMONT AVE,10465,(718)823-1076
JUN-MEN RAMEN BAR,MANHATTAN,249,9TH AVE,10001,(646)852-6787
JUNCTION CAKE BOX,QUEENS,5701,JUNCTION BLVD,11373,(718)374-1992
JUNE,BROOKLYN,231,COURT ST,11201,(646)526-3167
JUNG SIK,MANHATTAN,6,HARRISON STREET,10013,(212)219-0900
JUNGLE CAFE,BROOKLYN,131,GREENPOINT AVE,11222,(347)987-4981
JUNGO SUSHI,QUEENS,4811,43RD AVE,11104,(718)779-7766
JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,(718)852-5257
JUNIOR'S BLUE MARBLE & MORE,BROOKLYN,620,ATLANTIC AVENUE,11217,(917)618-6310
JUNIOR'S FRESH,MANHATTAN,4233,BROADWAY,10033,(646)661-5410
JUNIOR'S PIZZA & FRIED CHICKEN,BROOKLYN,203,NEPTUNE AVE,11235,(718)676-0770
JUNIOR'S RESTAURANT,MANHATTAN,1515,BROADWAY,10036,(212)302-2000
JUNIOR'S RESTAURANT,MANHATTAN,750,7TH AVE,10019,(718)852-5257
JUNIOR'S SEAFOOD,MANHATTAN,700,WEST  180 STREET,10033,(212)568-0027
JUNIORS,BROOKLYN,620,ATLANTIC AVENUE,11217,(917)618-6310
JUNIPER,BROOKLYN,112,BERRY STREET,11249,(718)782-8777
JUNIPER,MANHATTAN,237,W 35TH ST,10001,(212)967-2511
JUNKO SUSHI,QUEENS,3302,BROADWAY,11106,(718)777-1588
JUNOON,MANHATTAN,27,WEST   24 STREET,10010,(212)490-2100
JUNOON CAFE AND GRILL,QUEENS,17922,UNION TPKE,11366,(718)969-7000
JUNZI KITCHEN,MANHATTAN,2896,BROADWAY,10025,(917)261-2497
JUNZI NYC,MANHATTAN,170,BLEECKER ST,10012,(203)936-9041
JUPIOCA,BROOKLYN,135,LAWRENCE ST,11201,(646)302-3016
JUPIOCA,BROOKLYN,19,HILLEL PL,11210,(646)651-2522
JUPIOCA,BROOKLYN,278B,WYCKOFF AVE,11237,(917)982-6111
JUPIOCA,MANHATTAN,123,W 3RD ST,10012,(917)242-5750
JUPIOCA,MANHATTAN,136,CHURCH ST,10007,(917)981-0388
JUPIOCA,MANHATTAN,1457,YORK AVE,10075,(917)855-8011
JUPIOCA,MANHATTAN,155,CHAMBERS ST,10007,(646)409-9511
JUPIOCA,MANHATTAN,39,JOHN STREET,10038,(212)574-4849
JUPITER DISCO,BROOKLYN,1237,FLUSHING AVE,11237,(917)855-2111
JUQUILA,QUEENS,4012,83RD ST,11373,(718)458-0104
JUQUILA KITCHEN AND BAR,QUEENS,3905,29TH ST,11101,(718)482-0033
JUS CHILL BAR & GRILL,BROOKLYN,589,NEW LOTS AVE,11207,(718)506-4040
JUS FISHY,BROOKLYN,555,FLATBUSH AVENUE,11225,(718)826-0616
JUST BAKED,MANHATTAN,88,W BROADWAY,10007,(917)291-0061
JUST COMBO RESTAURANT,QUEENS,2101,21ST AVE,11105,(646)920-8925
JUST DESSERTS,BROOKLYN,7211,18TH AVE,11204,(718)676-2227
JUST MADE 4 U,QUEENS,8021,37 AVENUE,11372,(718)205-8107
JUST MADE SUSHI (DD MARU),MANHATTAN,267,WEST   17 STREET,10011,(646)724-0508
JUST NOODLES THAI EXPRESS,QUEENS,8202,45TH AVE,11373,(917)250-8405
JUST ONE TAVERN,BRONX,4279,KATONAH AVE,10470,(718)994-8323
JUST SALAD,BROOKLYN,252,7TH AVE,11215,(646)490-9170
JUST SALAD,MANHATTAN,1306,1ST AVE,10021,(212)244-1111
JUST SALAD,MANHATTAN,134,WEST   37 STREET,10018,(212)244-7315
JUST SALAD,MANHATTAN,140,8TH AVE,10011,(646)395-9906
JUST SALAD,MANHATTAN,1471,THIRD AVE,10028,(646)867-0957
JUST SALAD,MANHATTAN,151,W 34TH ST,10001,(347)305-7457
JUST SALAD,MANHATTAN,2,E 39TH ST,10016,(646)588-0001
JUST SALAD,MANHATTAN,2056,BROADWAY,10023,(646)355-1849
JUST SALAD,MANHATTAN,233,BROADWAY,10279,(212)355-5808
JUST SALAD,MANHATTAN,291,7TH AVE,10001,(212)244-1111
JUST SALAD,MANHATTAN,30,ROCKEFELLER  CENTER,10111,(212)244-1111
JUST SALAD,MANHATTAN,315,PARK AVE S,10010,(347)482-0476
JUST SALAD,MANHATTAN,320,PARK AVENUE,10022,(646)430-9239
JUST SALAD,MANHATTAN,321,WEST   49 STREET,10019,(212)244-1111
JUST SALAD,MANHATTAN,325,HUDSON ST,10013,(347)223-5353
JUST SALAD,MANHATTAN,53,EAST 8TH STREET,10003,(212)244-1111
JUST SALAD,MANHATTAN,600,3 AVENUE,10016,(212)682-3832
JUST SALAD,MANHATTAN,90,BROAD ST,10004,(646)796-4322
JUST SALAD,MANHATTAN,98,MAIDEN LANE,10038,(212)244-1111
JUST TASTE IT,QUEENS,261,BEACH 20TH ST,11691,(917)438-0995
JUSTIN PIZZA,BRONX,840,RIVER AVE,10451,(718)292-8900
JUSTINE RESTAURANT,BRONX,28,EAST 167 STREET,10452,(718)538-2100
JUSTINO'S PIZZERIA,MANHATTAN,64,FULTON ST,10038,(212)406-6200
JUSTINO'S PIZZERIA,MANHATTAN,77,PEARL ST,10004,(212)797-9292
JUSTINOS PIZZERIA,STATEN ISLAND,89,GUYON AVENUE,10306,(718)668-2020
JUVENTUD SALUD Y VIDA (HERBALIFE),QUEENS,4503,47TH AVE,11377,(347)806-3727
Jacal Mexicano Corp,QUEENS,18215,JAMAICA AVE,11423,(646)712-4975
Jacks Stir Brew Coffee,MANHATTAN,500,W 33RD ST,10001,(212)564-3292
Jack's Stir Brew,MANHATTAN,139,READE ST,10013,(212)571-1700
Jacup's Coffee Bistro,QUEENS,5217,69TH ST,11378,(347)813-4853
Jajaja,BROOKLYN,103,N 3RD ST,11249,(650)799-5693
Jasper Kane Cafe,BROOKLYN,6,METROTECH CTR,11201,(646)997-3786
Jian Bing Company (DEKALB MARKET),BROOKLYN,445,ALBEE SQUARE WEST,11201,(914)815-3651
Joyo Asian Restaurant,QUEENS,7917,MYRTLE AVE,11385,(212)966-7199
Jr's Pizza & Brew Corp,MANHATTAN,95,MACDOUGAL ST,10012,(212)255-5090
Juanita's,QUEENS,8415,NORTHERN BLVD,11372,(718)779-7272
Julie's Pizzeria & Restaurant,QUEENS,675,ONDERDONK AVE,11385,(347)916-1959
K & A BAR,QUEENS,6648,MYRTLE AVE,11385,(347)721-3012
K & E FAST FOOD,BROOKLYN,1221,BOWERY ST,11224,(646)288-5924
K & J FRIED CHICKEN AND BURGER,BROOKLYN,415,MOTHER GASTON BLVD,11212,(917)209-0001
K & K SUPER BUFFET,QUEENS,341,SAINT NICHOLAS AVE,11385,(718)381-7111
K & L DAIRY FARM,QUEENS,7601,37TH AVE,11372,(201)575-2557
K & L RESTAURANT AND CATERING SERVICE,BRONX,3204,3RD AVENUE,10451,(917)631-8398
K & Q RESTARUANT,BRONX,706,BURKE AVENUE,10467,(718)798-7673
K & S RAMEN,MANHATTAN,283,BROOME ST,10002,(917)607-9591
K & V BAKERY,BROOKLYN,1405,AVENUE U,11229,(718)627-0986
K 1 BUFFET,BROOKLYN,5614,FLATLANDS AVE,11234,(718)968-8808
K LOVE Q CHINESE RESTAURANT,BRONX,1759,CROSBY AVENUE,10461,(718)823-0262
K RICO,MANHATTAN,772,9TH AVE,10019,(212)757-9393
K TOWN,MANHATTAN,34,WEST   32 STREET,10001,(212)643-2603
K'OOK,MANHATTAN,324,E 6TH ST,10003,(212)254-0300
K'S CAFETERIA,QUEENS,4803,108TH ST,11368,(718)760-0418
K*CHICKEN,MANHATTAN,528,9TH AVE,10018,(212)760-9090
K-BAP,MANHATTAN,62,W 56TH ST,10019,(718)640-4640
K-SHOW,QUEENS,13620,38TH AVE,11354,(718)321-1666
K-TOWN BBQ,MANHATTAN,2,W 32ND ST,10001,(212)695-7272
K-TOWN FOOD COURT,QUEENS,46-40,FRANCIS LEWIS BOULEVARD,11361,(718)229-1480
K-TOWN SAUNA,MANHATTAN,22,W 32ND ST,10001,(212)216-9090
KA LOK KITCHEN,QUEENS,13418,NORTHERN BLVD,11354,(718)463-3333
KA WAH BAKERY,MANHATTAN,9,ELDRIDGE STREET,10002,(212)226-0133
KA WAH CHINESE RESTAURANT,BRONX,3044,VALENTINE AVE,10458,(718)364-2458
KA-VA BAR,BROOKLYN,160,HAVEMEYER ST,11211,(929)250-2244
KABAB AND GYRO GRILL,QUEENS,13107,LIBERTY AVE,11419,(718)843-0123
KABAB BITES,MANHATTAN,369,BROOME ST,10013,(212)858-9575
KABAB CAFE,QUEENS,2512,STEINWAY STREET,11103,(718)728-9858
KABAB KING,QUEENS,7301,37TH RD,11372,(718)457-5857
KABABISH,QUEENS,7064,BROADWAY,11372,(718)565-5131
KABAYAN FILIPINO RESTAURANT,QUEENS,4912,QUEENS BLVD,11377,(718)639-3113
KABAYAN FILIPINO RESTAURANT,QUEENS,6912,ROOSEVELT AVE,11377,(718)205-4010
KABAYAN RESTAURANT AND BAKERY,QUEENS,16118,UNION TPKE,11366,(718)380-0802
KABIR'S BAKERY,BROOKLYN,1425,FOSTER AVE,11230,(718)859-2348
KABIR'S BAKERY,BROOKLYN,97,CHURCH AVE,11218,(718)853-7907
KABIR'S BAKERY,QUEENS,7404A,37 AVENUE,11372,(718)396-2342
KABISERA KAPE,MANHATTAN,151,ALLEN ST,10002,(929)920-8250
KABOB SHACK,BROOKLYN,182,HAVEMEYER ST,11211,(718)387-7111
KABU BAR & LOUNGE,QUEENS,8509,NORTHERN BOULEVARD,11372,(718)429-8113
KABUL KABAB HOUSE,QUEENS,4251,MAIN STREET,11355,(718)461-1919
KACHE RESTAURANT AND LOUNGE,BROOKLYN,2192,FLATBUSH AVE,11234,(516)870-2626
KAFANA,MANHATTAN,116,AVENUE C,10009,(212)353-8000
KAFE LOUVERTURE,BROOKLYN,392,HALSEY ST,11216,(646)642-1141
KAFETERIA DORUNTINA,BROOKLYN,144,AVENUE T,11223,(718)266-0611
KAFF KAFE,BROOKLYN,5320,16 AVENUE,11204,(718)436-0808
KAFFE 1668,MANHATTAN,275,GREENWICH STREET,10007,(212)693-3750
KAFFE 1668,MANHATTAN,401,GREENWICH STREET,10013,(646)559-2587
KAHLO,MANHATTAN,525,W 29TH ST,10001,(347)624-9277
KAHLUA'S CAFE & RESTAURANT,MANHATTAN,2117,3 AVENUE,10029,(212)348-0311
KAHVE,MANHATTAN,667,10TH AVE,10036,(646)649-4503
KAHVE,MANHATTAN,786,9TH AVE,10019,(212)256-0207
KAI FAN ASIAN CUISINE,BRONX,3717,RIVERDALE AVE,10463,(347)275-8056
KAI FENG FU DUMPLING HOUSE,BROOKLYN,4801,8 AVENUE,11220,(718)437-3542
KAI FISH MARKET,QUEENS,10223,HORACE HARDING EXPY,11368,(646)249-3074
KAI GALLERY,MANHATTAN,78,GRAND ST,10013,(212)300-4874
KAI SUSHI ASIAN FUSION,BRONX,1475,WILLIAMSBRIDGE RD,10461,(718)863-7900
KAI YING CHINESE RESTAURANT,QUEENS,1821,COLLEGE POINT BLVD,11356,(718)839-3765
KAIA WINE BAR,MANHATTAN,1614,3 AVENUE,10128,(212)722-0490
KAIETEUR EXPRESS RESTAURANT,QUEENS,12004,LIBERTY AVENUE,11419,(718)323-8748
KAIETEUR RESTAURANT,BRONX,4379,WHITE PLAINS RD,10466,(718)231-8700
KAIETEUR RESTAURANT,QUEENS,8712,LEFFERTS BOULEVARD,11418,(718)850-0787
KAIETEUR RESTAURANT & BAKERY,QUEENS,8808,183 STREET,11423,(718)526-6251
KAIGO COFFEE ROOM,BROOKLYN,360,FURMAN ST,11201,(646)639-1167
KAIKAGETSU NYC,MANHATTAN,162,ORCHARD ST,10002,(646)590-3900
KAILASH PARBAT,MANHATTAN,99,LEXINGTON AVE,10016,(347)972-3788
KAJITSU,MANHATTAN,125,EAST   39 STREET,10016,(212)228-4873
KAKUREGA JAPANESE CUISINE,QUEENS,13344,37TH AVE,11354,(718)886-8668
KAL,QUEENS,3405,30TH AVE,11103,(718)806-1677
KAL BAKERY & RESTAURANT,BROOKLYN,3401,CHURCH AVENUE,11203,(718)462-8786
KALAMAKI GR,QUEENS,2906,172ND ST,11358,(718)939-1616
KALINA RESTAURANT,BROOKLYN,1476,BROADWAY,11221,(718)919-1111
KAM FUNG,BROOKLYN,5221,AVENUE N,11234,(718)253-0212
KAM HING BAKERY,MANHATTAN,81,BAYARD ST,10013,(917)868-0763
KAM HING BAKERY COFFEE SHOP,BROOKLYN,6303,8TH AVENUE,11220,(212)729-0565
KAM HING CAFE,MANHATTAN,118,BAXTER ST,10013,(212)925-0425
KAM HUNG KITCHEN,QUEENS,17208,LINDEN BLVD,11434,(718)523-4725
KAM KITCHEN,QUEENS,13417,LIBERTY AVE,11419,(718)291-4431
KAM LAI,MANHATTAN,708,AMSTERDAM AVE,10025,(212)749-8990
KAM LONG KITCHEN KINGS,BROOKLYN,1031,RUTLAND RD,11212,(718)778-1711
KAM MAN KITCHEN,BRONX,311,E 204TH ST,10467,(718)515-3642
KAM MAN KITCHEN,BROOKLYN,1500,NOSTRAND AVE,11226,(718)282-3400
KAM SHING CHINESE RESTAURANT,BROOKLYN,1608,AVENUE H,11230,(718)421-5252
KAM TUNG RESTAURANT,QUEENS,261,BEACH  116 STREET,11694,(718)945-4400
KAM WAH RESTAURANT,BROOKLYN,208,LEWIS AVENUE,11221,(718)443-2100
KAM'S GARDEN CHINESE RESTAURANT,QUEENS,24507,JERICHO TPKE,11426,(718)343-4442
KAM'S KITCHEN,QUEENS,21709,LINDEN BLVD,11411,(646)301-4237
KAME RAMEN,MANHATTAN,435,PARK AVENUE SOUTH,10016,(212)644-8989
KAMI SUSHI/YUMMY THAI,BROOKLYN,383-385,FLATBUSH AVE,11238,(718)398-3299
KAN WAH CHINESE RESTAURANT,QUEENS,5912,MAIN ST,11355,(718)445-9799
KANA TAPAS BAR & RESTAURANT,MANHATTAN,324,SPRING STREET,10013,(212)343-8180
KANAHASHI,BROOKLYN,981,MANHATTAN AVE,11222,(718)838-8376
KANAN INDIAN RESTAURANT,BROOKLYN,452,3RD AVE,11215,(718)369-3777
KANCHANJUNGA RESTAURANT,QUEENS,7224,ROOSEVELT AVE,11372,(718)457-1609
KANES DELI DINER,QUEENS,4415,COLLEGE POINT BOULEVARD,11355,(718)463-5787
KANG TONG BBQ,QUEENS,14920,41ST AVENUE,11355,(718)886-2737
KANOYAMA,MANHATTAN,175,2 AVENUE,10003,(212)777-5266
KANSAS CHICKEN & BURGER,BROOKLYN,1090,RUTLAND RD,11212,(718)484-3313
KANTO GRILL,QUEENS,21469,JAMAICA AVE,11428,(718)470-2711
KANTU PERUVIAN CUISINE,QUEENS,7417,METROPOLITAN AVE,11379,(347)531-0873
KAPE'T TORTA,QUEENS,8313,QUEENS BLVD,11373,(718)899-0240
KAPPO MASA,MANHATTAN,976,MADISON AVE,10075,(212)823-9807
KAPPOCK CAFE,BRONX,17,KNOLLS CRESCENT STREET,10463,(718)601-5500
KARAKATTA,MANHATTAN,230,THOMPSON ST,10012,(917)261-6297
KARAM RESTAURANT,BROOKLYN,8519,4TH AVE,11209,(718)745-5227
KARAOKE BOHO,MANHATTAN,152,ORCHARD ST,10002,(212)777-0102
KARAOKE BOHO,MANHATTAN,186,WEST    4 STREET,10014,(212)255-0011
KARAOKE CHRISTMAS,QUEENS,4729,BELL BOULEVARD,11361,(718)224-2434
KARAOKE CITY,MANHATTAN,22,W 32ND ST,10001,(646)791-8318
KARAOKE DUET,MANHATTAN,900,8TH AVE,10019,(212)757-4676
KARAOKE DUET 48,MANHATTAN,304,EAST   48 STREET,10017,(212)753-0030
KARAOKE FLOWER,QUEENS,16205,CROCHERON AVE,11358,(718)321-2012
KARAOKE SHOUT,QUEENS,3246,STEINWAY STREET,11103,(718)569-0080
KARAOKE WOW,MANHATTAN,10,WEST   32 STREET,10001,(646)454-1777
KARCZMA,BROOKLYN,136,GREENPOINT AVENUE,11222,(718)349-1744
KARE THAI,MANHATTAN,752,10 AVENUE,10019,(212)765-7800
KAREN COFFEE SHOP,BROOKLYN,109,BELMONT AVE,11212,(347)773-8007
KARIBBEAN GREEN,BROOKLYN,804,NOSTRAND AVE,11216,(347)425-8279
KARIZMA LOUNGE,MANHATTAN,244,E 51ST ST,10022,(212)605-9988
KARMA,MANHATTAN,51,1 AVENUE,10003,(212)677-3160
KARVOUNA MEZZE,MANHATTAN,241,BOWERY,10002,(212)388-0052
KASAI,BROOKLYN,2524,CONEY ISLAND AVE,11223,(718)219-7641
KASBAH BBQ & GRILL,MANHATTAN,251,WEST   85 STREET,10024,(212)496-1500
KASHKAVAL GARDEN,MANHATTAN,852,9 AVENUE,10019,(212)245-1758
KASHMIR 9,MANHATTAN,478,9TH AVE,10018,(212)736-7745
KASSIM'S BAKERY & RESTAURANT,QUEENS,16928,JAMAICA AVENUE,11432,(718)206-3595
KASTELI II,MANHATTAN,372,8 AVENUE,10001,(212)239-0090
KASTELI MARKET,MANHATTAN,374,8TH AVE,10001,(212)947-1043
KASUMI,BROOKLYN,1870,86TH STREET,11214,(718)975-6999
KAT'S ISLAND CUISINE,QUEENS,11219,LINDEN BOULEVARD,11420,(718)848-4209
KATANA KITTEN,MANHATTAN,531,HUDSON ST,10014,(212)243-3000
KATCH,QUEENS,3119,NEWTOWN AVE,11102,(914)320-0307
KATE'S CORNER CAFE,QUEENS,4125,20TH AVE,11105,(718)956-2929
KATHMANDU FUSION KITCHEN,QUEENS,3926,61ST ST,11377,(718)672-9500
KATHY'S GOURMET ITALIAN ICES & ICE CREAM,BROOKLYN,422,GREENWOOD AVENUE,11218,(347)268-3435
KATI SHOP,MANHATTAN,162,E 55TH ST,10022,(646)869-1362
KATI THAI CUISINE,MANHATTAN,347,EAST   14 STREET,10003,(212)533-2046
KATIE O'S,BROOKLYN,452,E NEW YORK AVE,11225,(718)773-7685
KATO CAFE,QUEENS,13501,35TH AVE,11354,(718)321-8818
KATONAH PIZZA,BRONX,4307,KATONAH AVE,10470,(718)994-8337
KATOU FINE RESTAURANT,BROOKLYN,5012,AVENUE M,11234,(718)618-0920
KATRA,MANHATTAN,217,BOWERY,10002,(212)473-3113
KATSUHAMA 47,MANHATTAN,11,EAST 47 STREET,10017,(212)758-5909
KATZ'S DELICATESSEN,MANHATTAN,205,EAST HOUSTON STREET,10002,(212)254-2246
KATZS DELICATESSEN (DEKALB MARKET),BROOKLYN,445,GOLD ST,11201,(212)254-2246
KAVA CAFE,MANHATTAN,803,WASHINGTON STREET,10014,(212)255-7495
KAVASUTRA,MANHATTAN,261,E 10TH ST,10009,(646)649-4214
KAVE ESPRESSO BAR,BROOKLYN,1087,FLUSHING AVENUE,11237,(718)360-8685
KAVKAZKIY DVORIK,BROOKLYN,2715,AVENUE U,11229,(718)769-7003
KAWA SUSHI 8 AVENUE,MANHATTAN,24,8 AVENUE,10014,(212)366-6888
KAWAII JAPANESE BISTRO,QUEENS,8219,153 AVENUE,11414,(718)848-6888
KAWI / PEACH MART,MANHATTAN,500,W 33RD ST,10001,(646)517-2699
KAYLAH'S HUT,BRONX,805,PROSPECT AVENUE,10455,(718)842-2300
KAYLEE'S CREAMERY,MANHATTAN,115,E 27TH ST,10016,(646)932-5204
KAYS KITCHEN,QUEENS,5420,BROADWAY,11377,(718)458-4444
KAZAN MANGAL,QUEENS,9713,QUEENS BLVD,11374,(718)997-7779
KAZUNORI,MANHATTAN,15,W 28TH ST,10001,(347)594-5940
KAZUZA,MANHATTAN,107,AVENUE A,10009,(212)505-9300
KAZZA WINE BAR,MANHATTAN,708,W 177TH ST,10033,(646)476-7887
KBBQ,MANHATTAN,230,PARK AVE,10169,(646)747-0816
KBBQ,MANHATTAN,672,LEXINGTON AVE,10022,(212)317-8822
KE LAI LE ASIAN CUISINE,BROOKLYN,791A,WASHINGTON AVE,11238,(718)399-7999
KE LAI QIN,QUEENS,13335,ROOSEVELT AVE,11354,(929)330-8883
KE LAI QIN NUMBER ONE RESTAURANT (ST#21),QUEENS,3711,MAIN ST,11354,(929)330-8883
KE ZHANG,QUEENS,45-72,KISSENA BOULEVARD,11355,(718)661-0008
KEANE'S BAR & RESTAURANT,BRONX,4342,KATONAH AVE,10470,(929)237-7958
KEATS RESTAURANT,MANHATTAN,842,2 AVENUE,10017,(212)682-5490
KEBAB HOUSE,QUEENS,25505,NORTHERN BOULEVARD,11362,(718)225-5318
KEE WANG RESTAURANT,BRONX,2129,VALENTINE AVENUE,10457,(718)364-7995
KEENANS,BRONX,5588,BROADWAY,10463,(917)822-8160
KEENS STEAKHOUSE,MANHATTAN,72,WEST 36th STREET,10018,(212)947-3636
KEEP IT HALAL,BROOKLYN,1162,CONEY ISLAND AVE,11230,(718)942-4666
KEFI GREEK CUISINE,MANHATTAN,222,WEST 79 STREET,10024,(212)873-0200
KEG AND LANTERN TAVERN,BROOKLYN,97,NASSAU AVENUE,11222,(718)389-5050
KEILLY CHINESE FOOD,QUEENS,2140,UTOPIA PKWY,11357,(718)352-1201
KEILLY CHINESE RESTAURANT,QUEENS,13211B,14TH AVE,11356,(718)_74-6_67
KEKI MODERN CAKES,MANHATTAN,79,MOTT ST,10013,(646)863-2094
KELLARI TAVERNA,MANHATTAN,19,WEST   44 STREET,10036,(212)221-0144
KELLOGG'S DINER,BROOKLYN,518,METROPOLITAN AVE,11211,(718)782-4502
KELLOGG'S NYC,MANHATTAN,31,E 17TH ST,10003,(347)828-0287
KELLY COMMONS MARKETPLACE,BRONX,4513,MANHATTAN COLLEGE PKWY,10471,(718)862-7737
KELLY D JAMAICAN AND AMERICAN RESTAURANT,QUEENS,11050,SUTPHIN BOULEVARD,11435,(718)658-2300
KELLY D JAMAICAN AND AMERICAN RESTAURANT,QUEENS,22411,MERRICK BLVD,11413,(718)949-0390
KELLY'S,MANHATTAN,12,AVENUE A,10009,(212)388-1464
KELLY'S BAR,QUEENS,3104,CRESCENT ST,11106,(718)626-5199
KELLY'S PUB,BRONX,23,EAST  233 STREET,10470,(718)325-5253
KELLY'S RESTAURANT & PIZZA,QUEENS,16975,137 AVENUE,11434,(718)723-1080
KELLY'S TAVERN,BROOKLYN,9259,4 AVENUE,11209,(917)519-4046
KELLYS PUB,QUEENS,13611,41ST AVE,11355,(718)795-7657
KENKA,MANHATTAN,25,ST MARKS PLACE,10003,(212)254-6363
KENNEDY  FRIED CHICKEN,BRONX,4212,WHITE PLAINS RD,10466,(718)324-9203
KENNEDY CHICKEN,BRONX,1326,METROPOLITAN AVE,10462,(718)224-6030
KENNEDY CHICKEN,QUEENS,14401,243RD ST,11422,(917)780-4588
KENNEDY CHICKEN,QUEENS,1850,COLLEGE POINT BLVD,11356,(718)886-9333
KENNEDY CHICKEN & BURGERS,BRONX,2537,WEBSTER AVE,10458,(718)562-6600
KENNEDY CHICKEN & GYROS,MANHATTAN,158,NAGLE AVENUE,10040,(212)942-5434
KENNEDY CHICKEN & PIZZA,BRONX,1926,CROSS BRONX EXPY,10472,(347)398-5388
KENNEDY CHICKEN & PIZZA,BRONX,4049,LACONIA AVENUE,10466,(718)547-0122
KENNEDY CHICKEN & PIZZA,MANHATTAN,2409,2ND AVE,10035,(212)289-2596
KENNEDY CHICKEN &SANDWICHES,BRONX,101,EAST  167 STREET,10452,(347)271-6218
KENNEDY CHICKEN AND PIZZA,BRONX,941,INTERVALE AVENUE,10459,(718)860-2295
KENNEDY CHICKEN BURGER & ICE CREAM,BRONX,3496,JEROME AVE,10467,(718)200-4858
KENNEDY CHICKEN GRILL SEAFOOD,QUEENS,20529,HOLLIS AVE,11412,(718)224-6030
KENNEDY CHICKEN PIZZA & KABAB,QUEENS,8921,NORTHERN BLVD,11372,(718)898-2700
KENNEDY FRIED CHICKEN,BRONX,1,E BURNSIDE AVE,10453,(718)669-3752
